h1,h2,h3,h4,p1,p2,p3,p4,pt,   cost
1.797756203,1.878473969,1.990262076,2.383704729,1.98804903,0.476627814,0.979074206,4,7.44375105,10004.09501
1.000704175,1.466516987,1.723560152,2.352255535,2.239267668,0.488592733,1.068787163,4.795943886,8.592591451,10004.10386
1.595129118,2.000743225,2.026774262,2.446095224,1.936452882,0.471621881,0.965016739,4,7.373091502,10004.10677
1.389970346,1.451554389,1.51501601,2.894816219,2.152098377,0.401561343,1.061620375,4.334719904,7.95,10004.11266
1.262324289,1.704476648,1.708037837,3.228047593,1.897250444,0.362546485,0.948013609,4,7.207810538,10004.11791
1.127642916,1.341435512,1.550642567,3.14135971,2.138533637,0.374084821,1.018978765,4.418402776,7.95,10004.1211
1.119459664,1.844124499,2.210333693,2.956569284,1.824487317,0.414902102,0.867322478,4,7.106711897,10004.1549
1.142976858,1.556322975,2.371107564,3.003755074,1.883815899,0.409765956,0.831509792,4,7.125091647,10004.15758
1.797756203,1.878473969,1.990262076,2.383704729,2.114611267,0.539908933,1.042355325,4.253124475,7.95,10004.19345
1.595129118,2.000743225,2.026774262,2.446095224,2.080680007,0.543735443,1.037130301,4.288454249,7.95,10004.22035
1.97537691,1.990082138,2.008905809,2.761129489,1.998129659,0.498927209,0.996710627,4,7.493767496,10004.24951
1.079628547,1.132107705,1.585907115,4.036778512,2.197592967,0.341865416,0.972419369,4.438122248,7.95,10004.25098
1.236157525,1.279919009,2.303235645,2.980760161,2.175910121,0.480219435,0.91439125,4.379479194,7.95,10004.2818
1.262324289,1.704476648,1.708037837,3.228047593,2.082797809,0.455320168,1.040787292,4.371094731,7.95,10004.30439
1.469053998,1.833772944,1.916428984,3.453845811,1.932306806,0.432589592,0.95439343,4,7.319289828,10004.31852
1.431226359,1.491188755,2.940761538,3.076296537,1.985952209,0.48764916,0.827697134,4,7.301298503,10004.32202
1.389970346,1.451554389,1.51501601,2.894816219,2.392098377,0.521561343,1.181620375,4.814719904,8.91,10004.32759
1.081498596,1.982115051,2.978768475,3.213836114,1.78993434,0.474856776,0.810565982,4,7.075357099,10004.33692
1.119459664,1.844124499,2.210333693,2.956569284,2.035309343,0.520313115,0.97273349,4.421644052,7.95,10004.34389
1.127642916,1.341435512,1.550642567,3.14135971,2.378533637,0.494084821,1.138978765,4.898402776,8.91,10004.35168
2.027069916,2.163544864,2.559991295,2.74665028,1.984440763,0.565805007,0.956431335,4,7.506677105,10004.3528
1.000704175,1.466516987,1.723560152,2.352255535,2.591119806,0.664518802,1.244713232,5.49964816,10,10004.3579
1.797756203,1.878473969,1.990262076,2.383704729,2.354611267,0.659908933,1.162355325,4.733124475,8.91,10004.36347
1.06817751,2.151206027,2.396999508,3.63694001,1.764340766,0.441148504,0.858336741,4,7.063826011,10004.38097
1.453883768,2.035495331,2.88084428,3.033082769,1.901734009,0.531666318,0.878786781,4,7.312187108,10004.38548
2.027069916,2.163544864,2.559991295,2.74665028,2.095271486,0.621220369,1.011846697,4.221661448,7.95,10004.43631
1.017491693,2.018925777,2.141797925,3.329476947,1.989454203,0.513621919,0.980519374,4.466404503,7.95,10004.43834
1.410313921,2.185453963,2.975993658,3.212618878,1.874254422,0.540330682,0.876352903,4,7.290938007,10004.452
1.250042494,1.73768322,2.986309114,3.560459138,1.88775304,0.488706319,0.823567836,4,7.200027195,10004.45419
1.972343606,2.016155379,2.11449254,2.555731905,2.348743997,0.689911884,1.162838594,4.708505524,8.91,10004.46636
1.076463403,2.638003922,3.30502087,3.384979244,1.725053268,0.521704246,0.824274521,4,7.071032036,10004.46778
1.469053998,1.833772944,1.916428984,3.453845811,2.089984349,0.511428363,1.033232202,4.315355086,7.95,10004.46801
