h1,h2,h3,h4,p1,p2,p3,p4,pt,   cost
1.797756203,1.797756203,1.797756203,2.383704729,1.98804903,0.476627814,0.979074206,4,7.44375105,10004.09501
1.262324289,1.704476648,1.708037837,3.228047593,1.897250444,0.362546485,0.948013609,4,7.207810538,10004.11791
1.127642916,1.341435512,1.550642567,3.14135971,2.138533637,0.374084821,1.018978765,4.418402776,7.95,10004.1211
1.119459664,1.844124499,2.210333693,2.956569284,1.824487317,0.414902102,0.867322478,4,7.106711897,10004.1549
1.142976858,1.556322975,2.371107564,3.003755074,1.883815899,0.409765956,0.831509792,4,7.125091647,10004.15758
1.797756203,1.878473969,1.990262076,2.383704729,2.114611267,0.539908933,1.042355325,4.253124475,7.95,10004.19345
1.079628547,1.132107705,1.585907115,4.036778512,2.197592967,0.341865416,0.972419369,4.438122248,7.95,10004.25098
1.236157525,1.279919009,2.303235645,2.980760161,2.175910121,0.480219435,0.91439125,4.379479194,7.95,10004.2818
1.262324289,1.704476648,1.708037837,3.228047593,2.082797809,0.455320168,1.040787292,4.371094731,7.95,10004.30439
1.469053998,1.833772944,1.916428984,3.453845811,1.932306806,0.432589592,0.95439343,4,7.319289828,10004.31852
1.431226359,1.491188755,2.940761538,3.076296537,1.985952209,0.48764916,0.827697134,4,7.301298503,10004.32202
1.081498596,1.982115051,2.978768475,3.213836114,1.78993434,0.474856776,0.810565982,4,7.075357099,10004.33692
1.119459664,1.844124499,2.210333693,2.956569284,2.035309343,0.520313115,0.97273349,4.421644052,7.95,10004.34389
1.127642916,1.341435512,1.550642567,3.14135971,2.378533637,0.494084821,1.138978765,4.898402776,8.91,10004.35168
2.027069916,2.163544864,2.559991295,2.74665028,1.984440763,0.565805007,0.956431335,4,7.506677105,10004.3528
1.797756203,1.878473969,1.990262076,2.383704729,2.354611267,0.659908933,1.162355325,4.733124475,8.91,10004.36347
1.06817751,2.151206027,2.396999508,3.63694001,1.764340766,0.441148504,0.858336741,4,7.063826011,10004.38097
1.453883768,2.035495331,2.88084428,3.033082769,1.901734009,0.531666318,0.878786781,4,7.312187108,10004.38548
2.027069916,2.163544864,2.559991295,2.74665028,2.095271486,0.621220369,1.011846697,4.221661448,7.95,10004.43631
1.017491693,2.018925777,2.141797925,3.329476947,1.989454203,0.513621919,0.980519374,4.466404503,7.95,10004.43834
1.410313921,2.185453963,2.975993658,3.212618878,1.874254422,0.540330682,0.876352903,4,7.290938007,10004.452
1.250042494,1.73768322,2.986309114,3.560459138,1.88775304,0.488706319,0.823567836,4,7.200027195,10004.45419
1.469053998,1.833772944,1.916428984,3.453845811,2.089984349,0.511428363,1.033232202,4.315355086,7.95,10004.46801
1.236157525,1.279919009,2.303235645,2.980760161,2.415910121,0.600219435,1.03439125,4.859479194,8.91,10004.4798
1.167376555,1.836032533,2.838377482,3.857256679,1.844015517,0.473524451,0.825838408,4,7.143378376,10004.49902
1.453883768,2.035495331,2.88084428,3.033082769,2.061187232,0.611392929,0.958513392,4.318906446,7.95,10004.51319
1.262324289,1.704476648,1.708037837,3.228047593,2.322797809,0.575320168,1.160787292,4.851094731,8.91,10004.51458
1.079628547,1.132107705,1.585907115,4.036778512,2.437592967,0.461865416,1.092419369,4.918122248,8.91,10004.51826
1.081498596,1.982115051,2.978768475,3.213836114,2.008595066,0.584187139,0.919896345,4.437321451,7.95,10004.52481
1.119459664,1.844124499,2.210333693,2.956569284,2.275309343,0.640313115,1.09273349,4.901644052,8.91,10004.53263
1.797756203,1.878473969,1.990262076,2.383704729,2.627111267,0.796158933,1.298605325,5.278124475,10,10004.53496
1.142976858,1.556322975,2.371107564,3.003755074,2.330042987,0.6328795,1.054623336,4.892454176,8.91,10004.53656
1.023209126,2.622608161,3.183025447,3.790438041,1.701991247,0.503262461,0.817428973,4,7.022682681,10004.53982
1.211629399,2.188476143,2.205066589,4.275841818,1.815802039,0.45268102,0.906182064,4,7.174665124,10004.55365
2.149965668,2.426364716,2.904035947,3.218439722,1.973507744,0.608510097,0.952858452,4,7.534876294,10004.56484
1.09985757,2.643426582,3.397797338,3.69237245,1.734544117,0.530969468,0.82527778,4,7.090791365,10004.56586
1.710038812,2.079660198,2.728036267,3.56446561,1.948032868,0.550310521,0.916874562,4,7.415217951,10004.56636
1.127642916,1.341435512,1.550642567,3.14135971,2.651033637,0.630334821,1.275228765,5.443402776,10,10004.57536
1.061859996,2.306434941,3.673539289,3.808557248,1.745912917,0.52006315,0.792280196,4,7.058256264,10004.57565
2.405073449,2.559812423,3.081937557,3.116872491,1.987432994,0.636146785,0.960632499,4,7.584212279,10004.57667
1.653324267,2.197420066,3.260265565,3.422575557,1.925118549,0.581657972,0.888381453,4,7.395157974,10004.58052
1.025939875,1.546411591,3.716435674,4.341655959,1.835971191,0.4601189,0.72919392,4,7.025284011,10004.58385
1.291286574,1.455254044,2.415964283,3.858156507,2.137477264,0.518199308,0.932112712,4.362210717,7.95,10004.58462
1.410313921,2.185453963,2.975993658,3.212618878,2.03901992,0.622713431,0.958735652,4.329530997,7.95,10004.58522
